"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Ambient sound levels SNE wind energy areas","Specific","Described",1,0.5,0.583333333333333
"2","Habitat-Physical","Ambient sound levels SNE wind energy areas","Specific","Units",0,0.5,0.583333333333333
"3","Habitat-Physical","Ambient sound levels SNE wind energy areas","Specific","Spatial",1,0.5,0.583333333333333
"4","Habitat-Physical","Ambient sound levels SNE wind energy areas","Specific","Uncertainty",0,0.5,0.583333333333333
"5","Habitat-Physical","Ambient sound levels SNE wind energy areas","Specific","Methods",1,0.5,0.583333333333333
"6","Habitat-Physical","Ambient sound levels SNE wind energy areas","Specific","Code",0,0.5,0.583333333333333
"7","Habitat-Physical","Ambient sound levels SNE wind energy areas","Measurable","Available",1,1,0.583333333333333
"8","Habitat-Physical","Ambient sound levels SNE wind energy areas","Measurable","Online",1,1,0.583333333333333
"9","Habitat-Physical","Ambient sound levels SNE wind energy areas","Measurable","Contact",1,1,0.583333333333333
"10","Habitat-Physical","Ambient sound levels SNE wind energy areas","Measurable","SourceDat",1,1,0.583333333333333
"11","Habitat-Physical","Ambient sound levels SNE wind energy areas","Measurable","SourceAvail",1,1,0.583333333333333
"12","Habitat-Physical","Ambient sound levels SNE wind energy areas","Measurable","SourceContact",1,1,0.583333333333333
"13","Habitat-Physical","Ambient sound levels SNE wind energy areas","Achievable","Tested",0,0,0.583333333333333
"14","Habitat-Physical","Ambient sound levels SNE wind energy areas","Achievable","Sensitivity",0,0,0.583333333333333
"15","Habitat-Physical","Ambient sound levels SNE wind energy areas","Achievable","TimeLag",0,0,0.583333333333333
"16","Habitat-Physical","Ambient sound levels SNE wind energy areas","Relevant","Advice",1,0.666666666666667,0.583333333333333
"17","Habitat-Physical","Ambient sound levels SNE wind energy areas","Relevant","Implications",1,0.666666666666667,0.583333333333333
"18","Habitat-Physical","Ambient sound levels SNE wind energy areas","Relevant","TargThresh",0,0.666666666666667,0.583333333333333
"19","Habitat-Physical","Ambient sound levels SNE wind energy areas","Timebound","Frequency",1,0.75,0.583333333333333
"20","Habitat-Physical","Ambient sound levels SNE wind energy areas","Timebound","Updated",0.5,0.75,0.583333333333333
