"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Specific","Described",1,0.666666666666667,0.65
"2","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Specific","Units",0,0.666666666666667,0.65
"3","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Specific","Spatial",1,0.666666666666667,0.65
"4","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Specific","Uncertainty",1,0.666666666666667,0.65
"5","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Specific","Methods",1,0.666666666666667,0.65
"6","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Specific","Code",0,0.666666666666667,0.65
"7","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Measurable","Available",1,0.833333333333333,0.65
"8","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Measurable","Online",1,0.833333333333333,0.65
"9","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Measurable","Contact",1,0.833333333333333,0.65
"10","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Measurable","SourceDat",0,0.833333333333333,0.65
"11","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Measurable","SourceAvail",1,0.833333333333333,0.65
"12","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Measurable","SourceContact",1,0.833333333333333,0.65
"13","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Achievable","Tested",0,0,0.65
"14","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Achievable","Sensitivity",0,0,0.65
"15","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Achievable","TimeLag",0,0,0.65
"16","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Relevant","Advice",1,1,0.65
"17","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Relevant","Implications",1,1,0.65
"18","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Relevant","TargThresh",1,1,0.65
"19","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Timebound","Frequency",1,0.75,0.65
"20","Fish","Atlantic Highly Migratory Species Pelagic Observer Program CPUE","Timebound","Updated",0.5,0.75,0.65
