"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Specific","Described",1,0.333333333333333,0.5
"2","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Specific","Units",0,0.333333333333333,0.5
"3","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Specific","Spatial",1,0.333333333333333,0.5
"4","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Specific","Uncertainty",0,0.333333333333333,0.5
"5","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Specific","Methods",0,0.333333333333333,0.5
"6","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Specific","Code",0,0.333333333333333,0.5
"7","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Measurable","Available",1,0.833333333333333,0.5
"8","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Measurable","Online",1,0.833333333333333,0.5
"9","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Measurable","Contact",1,0.833333333333333,0.5
"10","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Measurable","SourceDat",1,0.833333333333333,0.5
"11","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Measurable","SourceAvail",1,0.833333333333333,0.5
"12","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Measurable","SourceContact",0,0.833333333333333,0.5
"13","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Achievable","Tested",1,0.333333333333333,0.5
"14","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Achievable","Sensitivity",0,0.333333333333333,0.5
"15","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Achievable","TimeLag",0,0.333333333333333,0.5
"16","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Relevant","Advice",0,0,0.5
"17","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Relevant","Implications",0,0,0.5
"18","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Relevant","TargThresh",0,0,0.5
"19","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Timebound","Frequency",1,1,0.5
"20","Habitat-Physical","Atlantic MultiDecadal Oscillation Index","Timebound","Updated",1,1,0.5
