"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Bottom Temperature - in situ","Specific","Described",1,0.666666666666667,0.616666666666667
"2","Habitat-Physical","Bottom Temperature - in situ","Specific","Units",1,0.666666666666667,0.616666666666667
"3","Habitat-Physical","Bottom Temperature - in situ","Specific","Spatial",1,0.666666666666667,0.616666666666667
"4","Habitat-Physical","Bottom Temperature - in situ","Specific","Uncertainty",0,0.666666666666667,0.616666666666667
"5","Habitat-Physical","Bottom Temperature - in situ","Specific","Methods",1,0.666666666666667,0.616666666666667
"6","Habitat-Physical","Bottom Temperature - in situ","Specific","Code",0,0.666666666666667,0.616666666666667
"7","Habitat-Physical","Bottom Temperature - in situ","Measurable","Available",1,1,0.616666666666667
"8","Habitat-Physical","Bottom Temperature - in situ","Measurable","Online",1,1,0.616666666666667
"9","Habitat-Physical","Bottom Temperature - in situ","Measurable","Contact",1,1,0.616666666666667
"10","Habitat-Physical","Bottom Temperature - in situ","Measurable","SourceDat",1,1,0.616666666666667
"11","Habitat-Physical","Bottom Temperature - in situ","Measurable","SourceAvail",1,1,0.616666666666667
"12","Habitat-Physical","Bottom Temperature - in situ","Measurable","SourceContact",1,1,0.616666666666667
"13","Habitat-Physical","Bottom Temperature - in situ","Achievable","Tested",0,0,0.616666666666667
"14","Habitat-Physical","Bottom Temperature - in situ","Achievable","Sensitivity",0,0,0.616666666666667
"15","Habitat-Physical","Bottom Temperature - in situ","Achievable","TimeLag",0,0,0.616666666666667
"16","Habitat-Physical","Bottom Temperature - in situ","Relevant","Advice",1,0.666666666666667,0.616666666666667
"17","Habitat-Physical","Bottom Temperature - in situ","Relevant","Implications",1,0.666666666666667,0.616666666666667
"18","Habitat-Physical","Bottom Temperature - in situ","Relevant","TargThresh",0,0.666666666666667,0.616666666666667
"19","Habitat-Physical","Bottom Temperature - in situ","Timebound","Frequency",1,0.75,0.616666666666667
"20","Habitat-Physical","Bottom Temperature - in situ","Timebound","Updated",0.5,0.75,0.616666666666667
