"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Specific","Described",1,0.666666666666667,0.566666666666667
"2","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Specific","Units",1,0.666666666666667,0.566666666666667
"3","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Specific","Spatial",1,0.666666666666667,0.566666666666667
"4","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Specific","Uncertainty",0,0.666666666666667,0.566666666666667
"5","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Specific","Methods",1,0.666666666666667,0.566666666666667
"6","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Specific","Code",0,0.666666666666667,0.566666666666667
"7","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Measurable","Available",1,0.5,0.566666666666667
"8","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Measurable","Online",1,0.5,0.566666666666667
"9","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Measurable","Contact",1,0.5,0.566666666666667
"10","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Measurable","SourceDat",0,0.5,0.566666666666667
"11","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Measurable","SourceAvail",0,0.5,0.566666666666667
"12","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Measurable","SourceContact",0,0.5,0.566666666666667
"13","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Achievable","Tested",0,0,0.566666666666667
"14","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Achievable","Sensitivity",0,0,0.566666666666667
"15","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Achievable","TimeLag",0,0,0.566666666666667
"16","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Relevant","Advice",1,0.666666666666667,0.566666666666667
"17","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Relevant","Implications",1,0.666666666666667,0.566666666666667
"18","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Relevant","TargThresh",0,0.666666666666667,0.566666666666667
"19","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Timebound","Frequency",1,1,0.566666666666667
"20","Habitat-Physical","Bottom temperature - Seasonal Anomaly","Timebound","Updated",1,1,0.566666666666667
