"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Bottom temperature - Seasonal Gridded","Specific","Described",1,0.5,0.666666666666667
"2","Habitat-Physical","Bottom temperature - Seasonal Gridded","Specific","Units",0,0.5,0.666666666666667
"3","Habitat-Physical","Bottom temperature - Seasonal Gridded","Specific","Spatial",1,0.5,0.666666666666667
"4","Habitat-Physical","Bottom temperature - Seasonal Gridded","Specific","Uncertainty",0,0.5,0.666666666666667
"5","Habitat-Physical","Bottom temperature - Seasonal Gridded","Specific","Methods",1,0.5,0.666666666666667
"6","Habitat-Physical","Bottom temperature - Seasonal Gridded","Specific","Code",0,0.5,0.666666666666667
"7","Habitat-Physical","Bottom temperature - Seasonal Gridded","Measurable","Available",1,0.833333333333333,0.666666666666667
"8","Habitat-Physical","Bottom temperature - Seasonal Gridded","Measurable","Online",1,0.833333333333333,0.666666666666667
"9","Habitat-Physical","Bottom temperature - Seasonal Gridded","Measurable","Contact",1,0.833333333333333,0.666666666666667
"10","Habitat-Physical","Bottom temperature - Seasonal Gridded","Measurable","SourceDat",0,0.833333333333333,0.666666666666667
"11","Habitat-Physical","Bottom temperature - Seasonal Gridded","Measurable","SourceAvail",1,0.833333333333333,0.666666666666667
"12","Habitat-Physical","Bottom temperature - Seasonal Gridded","Measurable","SourceContact",1,0.833333333333333,0.666666666666667
"13","Habitat-Physical","Bottom temperature - Seasonal Gridded","Achievable","Tested",1,0.333333333333333,0.666666666666667
"14","Habitat-Physical","Bottom temperature - Seasonal Gridded","Achievable","Sensitivity",0,0.333333333333333,0.666666666666667
"15","Habitat-Physical","Bottom temperature - Seasonal Gridded","Achievable","TimeLag",0,0.333333333333333,0.666666666666667
"16","Habitat-Physical","Bottom temperature - Seasonal Gridded","Relevant","Advice",1,0.666666666666667,0.666666666666667
"17","Habitat-Physical","Bottom temperature - Seasonal Gridded","Relevant","Implications",1,0.666666666666667,0.666666666666667
"18","Habitat-Physical","Bottom temperature - Seasonal Gridded","Relevant","TargThresh",0,0.666666666666667,0.666666666666667
"19","Habitat-Physical","Bottom temperature - Seasonal Gridded","Timebound","Frequency",1,1,0.666666666666667
"20","Habitat-Physical","Bottom temperature - Seasonal Gridded","Timebound","Updated",1,1,0.666666666666667
