"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fishery Economic","Commercial Landings and Revenue","Specific","Described",1,0.666666666666667,0.65
"2","Fishery Economic","Commercial Landings and Revenue","Specific","Units",1,0.666666666666667,0.65
"3","Fishery Economic","Commercial Landings and Revenue","Specific","Spatial",1,0.666666666666667,0.65
"4","Fishery Economic","Commercial Landings and Revenue","Specific","Uncertainty",0,0.666666666666667,0.65
"5","Fishery Economic","Commercial Landings and Revenue","Specific","Methods",1,0.666666666666667,0.65
"6","Fishery Economic","Commercial Landings and Revenue","Specific","Code",0,0.666666666666667,0.65
"7","Fishery Economic","Commercial Landings and Revenue","Measurable","Available",1,0.833333333333333,0.65
"8","Fishery Economic","Commercial Landings and Revenue","Measurable","Online",1,0.833333333333333,0.65
"9","Fishery Economic","Commercial Landings and Revenue","Measurable","Contact",1,0.833333333333333,0.65
"10","Fishery Economic","Commercial Landings and Revenue","Measurable","SourceDat",0,0.833333333333333,0.65
"11","Fishery Economic","Commercial Landings and Revenue","Measurable","SourceAvail",1,0.833333333333333,0.65
"12","Fishery Economic","Commercial Landings and Revenue","Measurable","SourceContact",1,0.833333333333333,0.65
"13","Fishery Economic","Commercial Landings and Revenue","Achievable","Tested",0,0,0.65
"14","Fishery Economic","Commercial Landings and Revenue","Achievable","Sensitivity",0,0,0.65
"15","Fishery Economic","Commercial Landings and Revenue","Achievable","TimeLag",0,0,0.65
"16","Fishery Economic","Commercial Landings and Revenue","Relevant","Advice",1,1,0.65
"17","Fishery Economic","Commercial Landings and Revenue","Relevant","Implications",1,1,0.65
"18","Fishery Economic","Commercial Landings and Revenue","Relevant","TargThresh",1,1,0.65
"19","Fishery Economic","Commercial Landings and Revenue","Timebound","Frequency",1,0.75,0.65
"20","Fishery Economic","Commercial Landings and Revenue","Timebound","Updated",0.5,0.75,0.65
