"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Social","Community Climate Change Risk Indicators (CCCRI)","Specific","Described",1,0.75,0.533333333333333
"2","Social","Community Climate Change Risk Indicators (CCCRI)","Specific","Units",0.5,0.75,0.533333333333333
"3","Social","Community Climate Change Risk Indicators (CCCRI)","Specific","Spatial",1,0.75,0.533333333333333
"4","Social","Community Climate Change Risk Indicators (CCCRI)","Specific","Uncertainty",1,0.75,0.533333333333333
"5","Social","Community Climate Change Risk Indicators (CCCRI)","Specific","Methods",1,0.75,0.533333333333333
"6","Social","Community Climate Change Risk Indicators (CCCRI)","Specific","Code",0,0.75,0.533333333333333
"7","Social","Community Climate Change Risk Indicators (CCCRI)","Measurable","Available",1,0.5,0.533333333333333
"8","Social","Community Climate Change Risk Indicators (CCCRI)","Measurable","Online",1,0.5,0.533333333333333
"9","Social","Community Climate Change Risk Indicators (CCCRI)","Measurable","Contact",1,0.5,0.533333333333333
"10","Social","Community Climate Change Risk Indicators (CCCRI)","Measurable","SourceDat",0,0.5,0.533333333333333
"11","Social","Community Climate Change Risk Indicators (CCCRI)","Measurable","SourceAvail",0,0.5,0.533333333333333
"12","Social","Community Climate Change Risk Indicators (CCCRI)","Measurable","SourceContact",0,0.5,0.533333333333333
"13","Social","Community Climate Change Risk Indicators (CCCRI)","Achievable","Tested",0,0,0.533333333333333
"14","Social","Community Climate Change Risk Indicators (CCCRI)","Achievable","Sensitivity",0,0,0.533333333333333
"15","Social","Community Climate Change Risk Indicators (CCCRI)","Achievable","TimeLag",0,0,0.533333333333333
"16","Social","Community Climate Change Risk Indicators (CCCRI)","Relevant","Advice",1,0.666666666666667,0.533333333333333
"17","Social","Community Climate Change Risk Indicators (CCCRI)","Relevant","Implications",1,0.666666666666667,0.533333333333333
"18","Social","Community Climate Change Risk Indicators (CCCRI)","Relevant","TargThresh",0,0.666666666666667,0.533333333333333
"19","Social","Community Climate Change Risk Indicators (CCCRI)","Timebound","Frequency",1,0.75,0.533333333333333
"20","Social","Community Climate Change Risk Indicators (CCCRI)","Timebound","Updated",0.5,0.75,0.533333333333333
