"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","Expected Number of Species","Specific","Described",1,0.833333333333333,0.65
"2","Fish","Expected Number of Species","Specific","Units",1,0.833333333333333,0.65
"3","Fish","Expected Number of Species","Specific","Spatial",1,0.833333333333333,0.65
"4","Fish","Expected Number of Species","Specific","Uncertainty",1,0.833333333333333,0.65
"5","Fish","Expected Number of Species","Specific","Methods",1,0.833333333333333,0.65
"6","Fish","Expected Number of Species","Specific","Code",0,0.833333333333333,0.65
"7","Fish","Expected Number of Species","Measurable","Available",1,1,0.65
"8","Fish","Expected Number of Species","Measurable","Online",1,1,0.65
"9","Fish","Expected Number of Species","Measurable","Contact",1,1,0.65
"10","Fish","Expected Number of Species","Measurable","SourceDat",1,1,0.65
"11","Fish","Expected Number of Species","Measurable","SourceAvail",1,1,0.65
"12","Fish","Expected Number of Species","Measurable","SourceContact",1,1,0.65
"13","Fish","Expected Number of Species","Achievable","Tested",0,0,0.65
"14","Fish","Expected Number of Species","Achievable","Sensitivity",0,0,0.65
"15","Fish","Expected Number of Species","Achievable","TimeLag",0,0,0.65
"16","Fish","Expected Number of Species","Relevant","Advice",1,0.666666666666667,0.65
"17","Fish","Expected Number of Species","Relevant","Implications",1,0.666666666666667,0.65
"18","Fish","Expected Number of Species","Relevant","TargThresh",0,0.666666666666667,0.65
"19","Fish","Expected Number of Species","Timebound","Frequency",1,0.75,0.65
"20","Fish","Expected Number of Species","Timebound","Updated",0.5,0.75,0.65
