"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","Fish Productivity Indicators","Specific","Described",1,0.833333333333333,0.65
"2","Fish","Fish Productivity Indicators","Specific","Units",1,0.833333333333333,0.65
"3","Fish","Fish Productivity Indicators","Specific","Spatial",1,0.833333333333333,0.65
"4","Fish","Fish Productivity Indicators","Specific","Uncertainty",1,0.833333333333333,0.65
"5","Fish","Fish Productivity Indicators","Specific","Methods",1,0.833333333333333,0.65
"6","Fish","Fish Productivity Indicators","Specific","Code",0,0.833333333333333,0.65
"7","Fish","Fish Productivity Indicators","Measurable","Available",1,1,0.65
"8","Fish","Fish Productivity Indicators","Measurable","Online",1,1,0.65
"9","Fish","Fish Productivity Indicators","Measurable","Contact",1,1,0.65
"10","Fish","Fish Productivity Indicators","Measurable","SourceDat",1,1,0.65
"11","Fish","Fish Productivity Indicators","Measurable","SourceAvail",1,1,0.65
"12","Fish","Fish Productivity Indicators","Measurable","SourceContact",1,1,0.65
"13","Fish","Fish Productivity Indicators","Achievable","Tested",0,0,0.65
"14","Fish","Fish Productivity Indicators","Achievable","Sensitivity",0,0,0.65
"15","Fish","Fish Productivity Indicators","Achievable","TimeLag",0,0,0.65
"16","Fish","Fish Productivity Indicators","Relevant","Advice",1,0.666666666666667,0.65
"17","Fish","Fish Productivity Indicators","Relevant","Implications",1,0.666666666666667,0.65
"18","Fish","Fish Productivity Indicators","Relevant","TargThresh",0,0.666666666666667,0.65
"19","Fish","Fish Productivity Indicators","Timebound","Frequency",1,0.75,0.65
"20","Fish","Fish Productivity Indicators","Timebound","Updated",0.5,0.75,0.65
