"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Ocean-Use","Fishery Impacts from Offshore Wind Development","Specific","Described",1,0.5,0.55
"2","Ocean-Use","Fishery Impacts from Offshore Wind Development","Specific","Units",0,0.5,0.55
"3","Ocean-Use","Fishery Impacts from Offshore Wind Development","Specific","Spatial",1,0.5,0.55
"4","Ocean-Use","Fishery Impacts from Offshore Wind Development","Specific","Uncertainty",0,0.5,0.55
"5","Ocean-Use","Fishery Impacts from Offshore Wind Development","Specific","Methods",1,0.5,0.55
"6","Ocean-Use","Fishery Impacts from Offshore Wind Development","Specific","Code",0,0.5,0.55
"7","Ocean-Use","Fishery Impacts from Offshore Wind Development","Measurable","Available",1,0.833333333333333,0.55
"8","Ocean-Use","Fishery Impacts from Offshore Wind Development","Measurable","Online",1,0.833333333333333,0.55
"9","Ocean-Use","Fishery Impacts from Offshore Wind Development","Measurable","Contact",1,0.833333333333333,0.55
"10","Ocean-Use","Fishery Impacts from Offshore Wind Development","Measurable","SourceDat",0,0.833333333333333,0.55
"11","Ocean-Use","Fishery Impacts from Offshore Wind Development","Measurable","SourceAvail",1,0.833333333333333,0.55
"12","Ocean-Use","Fishery Impacts from Offshore Wind Development","Measurable","SourceContact",1,0.833333333333333,0.55
"13","Ocean-Use","Fishery Impacts from Offshore Wind Development","Achievable","Tested",0,0,0.55
"14","Ocean-Use","Fishery Impacts from Offshore Wind Development","Achievable","Sensitivity",0,0,0.55
"15","Ocean-Use","Fishery Impacts from Offshore Wind Development","Achievable","TimeLag",0,0,0.55
"16","Ocean-Use","Fishery Impacts from Offshore Wind Development","Relevant","Advice",1,0.666666666666667,0.55
"17","Ocean-Use","Fishery Impacts from Offshore Wind Development","Relevant","Implications",1,0.666666666666667,0.55
"18","Ocean-Use","Fishery Impacts from Offshore Wind Development","Relevant","TargThresh",0,0.666666666666667,0.55
"19","Ocean-Use","Fishery Impacts from Offshore Wind Development","Timebound","Frequency",1,0.75,0.55
"20","Ocean-Use","Fishery Impacts from Offshore Wind Development","Timebound","Updated",0.5,0.75,0.55
