"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","Forage Fish Energy Density","Specific","Described",1,0.666666666666667,0.616666666666667
"2","Fish","Forage Fish Energy Density","Specific","Units",0,0.666666666666667,0.616666666666667
"3","Fish","Forage Fish Energy Density","Specific","Spatial",1,0.666666666666667,0.616666666666667
"4","Fish","Forage Fish Energy Density","Specific","Uncertainty",1,0.666666666666667,0.616666666666667
"5","Fish","Forage Fish Energy Density","Specific","Methods",1,0.666666666666667,0.616666666666667
"6","Fish","Forage Fish Energy Density","Specific","Code",0,0.666666666666667,0.616666666666667
"7","Fish","Forage Fish Energy Density","Measurable","Available",1,1,0.616666666666667
"8","Fish","Forage Fish Energy Density","Measurable","Online",1,1,0.616666666666667
"9","Fish","Forage Fish Energy Density","Measurable","Contact",1,1,0.616666666666667
"10","Fish","Forage Fish Energy Density","Measurable","SourceDat",1,1,0.616666666666667
"11","Fish","Forage Fish Energy Density","Measurable","SourceAvail",1,1,0.616666666666667
"12","Fish","Forage Fish Energy Density","Measurable","SourceContact",1,1,0.616666666666667
"13","Fish","Forage Fish Energy Density","Achievable","Tested",0,0,0.616666666666667
"14","Fish","Forage Fish Energy Density","Achievable","Sensitivity",0,0,0.616666666666667
"15","Fish","Forage Fish Energy Density","Achievable","TimeLag",0,0,0.616666666666667
"16","Fish","Forage Fish Energy Density","Relevant","Advice",1,0.666666666666667,0.616666666666667
"17","Fish","Forage Fish Energy Density","Relevant","Implications",1,0.666666666666667,0.616666666666667
"18","Fish","Forage Fish Energy Density","Relevant","TargThresh",0,0.666666666666667,0.616666666666667
"19","Fish","Forage Fish Energy Density","Timebound","Frequency",1,0.75,0.616666666666667
"20","Fish","Forage Fish Energy Density","Timebound","Updated",0.5,0.75,0.616666666666667
