"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Gulf Stream Index","Specific","Described",1,0.5,0.6
"2","Habitat-Physical","Gulf Stream Index","Specific","Units",0,0.5,0.6
"3","Habitat-Physical","Gulf Stream Index","Specific","Spatial",1,0.5,0.6
"4","Habitat-Physical","Gulf Stream Index","Specific","Uncertainty",0,0.5,0.6
"5","Habitat-Physical","Gulf Stream Index","Specific","Methods",1,0.5,0.6
"6","Habitat-Physical","Gulf Stream Index","Specific","Code",0,0.5,0.6
"7","Habitat-Physical","Gulf Stream Index","Measurable","Available",1,0.833333333333333,0.6
"8","Habitat-Physical","Gulf Stream Index","Measurable","Online",1,0.833333333333333,0.6
"9","Habitat-Physical","Gulf Stream Index","Measurable","Contact",1,0.833333333333333,0.6
"10","Habitat-Physical","Gulf Stream Index","Measurable","SourceDat",0,0.833333333333333,0.6
"11","Habitat-Physical","Gulf Stream Index","Measurable","SourceAvail",1,0.833333333333333,0.6
"12","Habitat-Physical","Gulf Stream Index","Measurable","SourceContact",1,0.833333333333333,0.6
"13","Habitat-Physical","Gulf Stream Index","Achievable","Tested",0,0,0.6
"14","Habitat-Physical","Gulf Stream Index","Achievable","Sensitivity",0,0,0.6
"15","Habitat-Physical","Gulf Stream Index","Achievable","TimeLag",0,0,0.6
"16","Habitat-Physical","Gulf Stream Index","Relevant","Advice",1,0.666666666666667,0.6
"17","Habitat-Physical","Gulf Stream Index","Relevant","Implications",1,0.666666666666667,0.6
"18","Habitat-Physical","Gulf Stream Index","Relevant","TargThresh",0,0.666666666666667,0.6
"19","Habitat-Physical","Gulf Stream Index","Timebound","Frequency",1,1,0.6
"20","Habitat-Physical","Gulf Stream Index","Timebound","Updated",1,1,0.6
