"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fishery","Highly Migratory Species Landings","Specific","Described",1,0.5,0.616666666666667
"2","Fishery","Highly Migratory Species Landings","Specific","Units",0,0.5,0.616666666666667
"3","Fishery","Highly Migratory Species Landings","Specific","Spatial",1,0.5,0.616666666666667
"4","Fishery","Highly Migratory Species Landings","Specific","Uncertainty",0,0.5,0.616666666666667
"5","Fishery","Highly Migratory Species Landings","Specific","Methods",1,0.5,0.616666666666667
"6","Fishery","Highly Migratory Species Landings","Specific","Code",0,0.5,0.616666666666667
"7","Fishery","Highly Migratory Species Landings","Measurable","Available",1,0.833333333333333,0.616666666666667
"8","Fishery","Highly Migratory Species Landings","Measurable","Online",1,0.833333333333333,0.616666666666667
"9","Fishery","Highly Migratory Species Landings","Measurable","Contact",1,0.833333333333333,0.616666666666667
"10","Fishery","Highly Migratory Species Landings","Measurable","SourceDat",0,0.833333333333333,0.616666666666667
"11","Fishery","Highly Migratory Species Landings","Measurable","SourceAvail",1,0.833333333333333,0.616666666666667
"12","Fishery","Highly Migratory Species Landings","Measurable","SourceContact",1,0.833333333333333,0.616666666666667
"13","Fishery","Highly Migratory Species Landings","Achievable","Tested",0,0,0.616666666666667
"14","Fishery","Highly Migratory Species Landings","Achievable","Sensitivity",0,0,0.616666666666667
"15","Fishery","Highly Migratory Species Landings","Achievable","TimeLag",0,0,0.616666666666667
"16","Fishery","Highly Migratory Species Landings","Relevant","Advice",1,1,0.616666666666667
"17","Fishery","Highly Migratory Species Landings","Relevant","Implications",1,1,0.616666666666667
"18","Fishery","Highly Migratory Species Landings","Relevant","TargThresh",1,1,0.616666666666667
"19","Fishery","Highly Migratory Species Landings","Timebound","Frequency",1,0.75,0.616666666666667
"20","Fishery","Highly Migratory Species Landings","Timebound","Updated",0.5,0.75,0.616666666666667
