"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","NE Shelf Functional Trait Indicators","Specific","Described",1,0.833333333333333,0.7
"2","Fish","NE Shelf Functional Trait Indicators","Specific","Units",1,0.833333333333333,0.7
"3","Fish","NE Shelf Functional Trait Indicators","Specific","Spatial",1,0.833333333333333,0.7
"4","Fish","NE Shelf Functional Trait Indicators","Specific","Uncertainty",0,0.833333333333333,0.7
"5","Fish","NE Shelf Functional Trait Indicators","Specific","Methods",1,0.833333333333333,0.7
"6","Fish","NE Shelf Functional Trait Indicators","Specific","Code",1,0.833333333333333,0.7
"7","Fish","NE Shelf Functional Trait Indicators","Measurable","Available",1,1,0.7
"8","Fish","NE Shelf Functional Trait Indicators","Measurable","Online",1,1,0.7
"9","Fish","NE Shelf Functional Trait Indicators","Measurable","Contact",1,1,0.7
"10","Fish","NE Shelf Functional Trait Indicators","Measurable","SourceDat",1,1,0.7
"11","Fish","NE Shelf Functional Trait Indicators","Measurable","SourceAvail",1,1,0.7
"12","Fish","NE Shelf Functional Trait Indicators","Measurable","SourceContact",1,1,0.7
"13","Fish","NE Shelf Functional Trait Indicators","Achievable","Tested",0,0,0.7
"14","Fish","NE Shelf Functional Trait Indicators","Achievable","Sensitivity",0,0,0.7
"15","Fish","NE Shelf Functional Trait Indicators","Achievable","TimeLag",0,0,0.7
"16","Fish","NE Shelf Functional Trait Indicators","Relevant","Advice",1,0.666666666666667,0.7
"17","Fish","NE Shelf Functional Trait Indicators","Relevant","Implications",1,0.666666666666667,0.7
"18","Fish","NE Shelf Functional Trait Indicators","Relevant","TargThresh",0,0.666666666666667,0.7
"19","Fish","NE Shelf Functional Trait Indicators","Timebound","Frequency",1,1,0.7
"20","Fish","NE Shelf Functional Trait Indicators","Timebound","Updated",1,1,0.7
