"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fishery","Recreational Fishing Indicators","Specific","Described",1,0.666666666666667,0.683333333333333
"2","Fishery","Recreational Fishing Indicators","Specific","Units",1,0.666666666666667,0.683333333333333
"3","Fishery","Recreational Fishing Indicators","Specific","Spatial",1,0.666666666666667,0.683333333333333
"4","Fishery","Recreational Fishing Indicators","Specific","Uncertainty",0,0.666666666666667,0.683333333333333
"5","Fishery","Recreational Fishing Indicators","Specific","Methods",1,0.666666666666667,0.683333333333333
"6","Fishery","Recreational Fishing Indicators","Specific","Code",0,0.666666666666667,0.683333333333333
"7","Fishery","Recreational Fishing Indicators","Measurable","Available",1,1,0.683333333333333
"8","Fishery","Recreational Fishing Indicators","Measurable","Online",1,1,0.683333333333333
"9","Fishery","Recreational Fishing Indicators","Measurable","Contact",1,1,0.683333333333333
"10","Fishery","Recreational Fishing Indicators","Measurable","SourceDat",1,1,0.683333333333333
"11","Fishery","Recreational Fishing Indicators","Measurable","SourceAvail",1,1,0.683333333333333
"12","Fishery","Recreational Fishing Indicators","Measurable","SourceContact",1,1,0.683333333333333
"13","Fishery","Recreational Fishing Indicators","Achievable","Tested",0,0,0.683333333333333
"14","Fishery","Recreational Fishing Indicators","Achievable","Sensitivity",0,0,0.683333333333333
"15","Fishery","Recreational Fishing Indicators","Achievable","TimeLag",0,0,0.683333333333333
"16","Fishery","Recreational Fishing Indicators","Relevant","Advice",1,1,0.683333333333333
"17","Fishery","Recreational Fishing Indicators","Relevant","Implications",1,1,0.683333333333333
"18","Fishery","Recreational Fishing Indicators","Relevant","TargThresh",1,1,0.683333333333333
"19","Fishery","Recreational Fishing Indicators","Timebound","Frequency",1,0.75,0.683333333333333
"20","Fishery","Recreational Fishing Indicators","Timebound","Updated",0.5,0.75,0.683333333333333
