"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","Relative condition","Specific","Described",1,0.666666666666667,0.683333333333333
"2","Fish","Relative condition","Specific","Units",1,0.666666666666667,0.683333333333333
"3","Fish","Relative condition","Specific","Spatial",1,0.666666666666667,0.683333333333333
"4","Fish","Relative condition","Specific","Uncertainty",0,0.666666666666667,0.683333333333333
"5","Fish","Relative condition","Specific","Methods",1,0.666666666666667,0.683333333333333
"6","Fish","Relative condition","Specific","Code",0,0.666666666666667,0.683333333333333
"7","Fish","Relative condition","Measurable","Available",1,1,0.683333333333333
"8","Fish","Relative condition","Measurable","Online",1,1,0.683333333333333
"9","Fish","Relative condition","Measurable","Contact",1,1,0.683333333333333
"10","Fish","Relative condition","Measurable","SourceDat",1,1,0.683333333333333
"11","Fish","Relative condition","Measurable","SourceAvail",1,1,0.683333333333333
"12","Fish","Relative condition","Measurable","SourceContact",1,1,0.683333333333333
"13","Fish","Relative condition","Achievable","Tested",0,0,0.683333333333333
"14","Fish","Relative condition","Achievable","Sensitivity",0,0,0.683333333333333
"15","Fish","Relative condition","Achievable","TimeLag",0,0,0.683333333333333
"16","Fish","Relative condition","Relevant","Advice",1,1,0.683333333333333
"17","Fish","Relative condition","Relevant","Implications",1,1,0.683333333333333
"18","Fish","Relative condition","Relevant","TargThresh",1,1,0.683333333333333
"19","Fish","Relative condition","Timebound","Frequency",1,0.75,0.683333333333333
"20","Fish","Relative condition","Timebound","Updated",0.5,0.75,0.683333333333333
