"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Sea Surface Temperature - Ocean Model","Specific","Described",1,0.666666666666667,0.566666666666667
"2","Habitat-Physical","Sea Surface Temperature - Ocean Model","Specific","Units",1,0.666666666666667,0.566666666666667
"3","Habitat-Physical","Sea Surface Temperature - Ocean Model","Specific","Spatial",1,0.666666666666667,0.566666666666667
"4","Habitat-Physical","Sea Surface Temperature - Ocean Model","Specific","Uncertainty",0,0.666666666666667,0.566666666666667
"5","Habitat-Physical","Sea Surface Temperature - Ocean Model","Specific","Methods",1,0.666666666666667,0.566666666666667
"6","Habitat-Physical","Sea Surface Temperature - Ocean Model","Specific","Code",0,0.666666666666667,0.566666666666667
"7","Habitat-Physical","Sea Surface Temperature - Ocean Model","Measurable","Available",1,0.5,0.566666666666667
"8","Habitat-Physical","Sea Surface Temperature - Ocean Model","Measurable","Online",1,0.5,0.566666666666667
"9","Habitat-Physical","Sea Surface Temperature - Ocean Model","Measurable","Contact",1,0.5,0.566666666666667
"10","Habitat-Physical","Sea Surface Temperature - Ocean Model","Measurable","SourceDat",0,0.5,0.566666666666667
"11","Habitat-Physical","Sea Surface Temperature - Ocean Model","Measurable","SourceAvail",0,0.5,0.566666666666667
"12","Habitat-Physical","Sea Surface Temperature - Ocean Model","Measurable","SourceContact",0,0.5,0.566666666666667
"13","Habitat-Physical","Sea Surface Temperature - Ocean Model","Achievable","Tested",0,0,0.566666666666667
"14","Habitat-Physical","Sea Surface Temperature - Ocean Model","Achievable","Sensitivity",0,0,0.566666666666667
"15","Habitat-Physical","Sea Surface Temperature - Ocean Model","Achievable","TimeLag",0,0,0.566666666666667
"16","Habitat-Physical","Sea Surface Temperature - Ocean Model","Relevant","Advice",1,0.666666666666667,0.566666666666667
"17","Habitat-Physical","Sea Surface Temperature - Ocean Model","Relevant","Implications",1,0.666666666666667,0.566666666666667
"18","Habitat-Physical","Sea Surface Temperature - Ocean Model","Relevant","TargThresh",0,0.666666666666667,0.566666666666667
"19","Habitat-Physical","Sea Surface Temperature - Ocean Model","Timebound","Frequency",1,1,0.566666666666667
"20","Habitat-Physical","Sea Surface Temperature - Ocean Model","Timebound","Updated",1,1,0.566666666666667
