"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Protected","Seabird diet and productivity - New England","Specific","Described",1,0.5,0.583333333333333
"2","Protected","Seabird diet and productivity - New England","Specific","Units",0,0.5,0.583333333333333
"3","Protected","Seabird diet and productivity - New England","Specific","Spatial",1,0.5,0.583333333333333
"4","Protected","Seabird diet and productivity - New England","Specific","Uncertainty",0,0.5,0.583333333333333
"5","Protected","Seabird diet and productivity - New England","Specific","Methods",1,0.5,0.583333333333333
"6","Protected","Seabird diet and productivity - New England","Specific","Code",0,0.5,0.583333333333333
"7","Protected","Seabird diet and productivity - New England","Measurable","Available",1,1,0.583333333333333
"8","Protected","Seabird diet and productivity - New England","Measurable","Online",1,1,0.583333333333333
"9","Protected","Seabird diet and productivity - New England","Measurable","Contact",1,1,0.583333333333333
"10","Protected","Seabird diet and productivity - New England","Measurable","SourceDat",1,1,0.583333333333333
"11","Protected","Seabird diet and productivity - New England","Measurable","SourceAvail",1,1,0.583333333333333
"12","Protected","Seabird diet and productivity - New England","Measurable","SourceContact",1,1,0.583333333333333
"13","Protected","Seabird diet and productivity - New England","Achievable","Tested",0,0,0.583333333333333
"14","Protected","Seabird diet and productivity - New England","Achievable","Sensitivity",0,0,0.583333333333333
"15","Protected","Seabird diet and productivity - New England","Achievable","TimeLag",0,0,0.583333333333333
"16","Protected","Seabird diet and productivity - New England","Relevant","Advice",1,0.666666666666667,0.583333333333333
"17","Protected","Seabird diet and productivity - New England","Relevant","Implications",1,0.666666666666667,0.583333333333333
"18","Protected","Seabird diet and productivity - New England","Relevant","TargThresh",0,0.666666666666667,0.583333333333333
"19","Protected","Seabird diet and productivity - New England","Timebound","Frequency",1,0.75,0.583333333333333
"20","Protected","Seabird diet and productivity - New England","Timebound","Updated",0.5,0.75,0.583333333333333
