"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Seasonal OISST Anomaly Map","Specific","Described",1,0.5,0.533333333333333
"2","Habitat-Physical","Seasonal OISST Anomaly Map","Specific","Units",0,0.5,0.533333333333333
"3","Habitat-Physical","Seasonal OISST Anomaly Map","Specific","Spatial",1,0.5,0.533333333333333
"4","Habitat-Physical","Seasonal OISST Anomaly Map","Specific","Uncertainty",0,0.5,0.533333333333333
"5","Habitat-Physical","Seasonal OISST Anomaly Map","Specific","Methods",1,0.5,0.533333333333333
"6","Habitat-Physical","Seasonal OISST Anomaly Map","Specific","Code",0,0.5,0.533333333333333
"7","Habitat-Physical","Seasonal OISST Anomaly Map","Measurable","Available",1,1,0.533333333333333
"8","Habitat-Physical","Seasonal OISST Anomaly Map","Measurable","Online",1,1,0.533333333333333
"9","Habitat-Physical","Seasonal OISST Anomaly Map","Measurable","Contact",1,1,0.533333333333333
"10","Habitat-Physical","Seasonal OISST Anomaly Map","Measurable","SourceDat",1,1,0.533333333333333
"11","Habitat-Physical","Seasonal OISST Anomaly Map","Measurable","SourceAvail",1,1,0.533333333333333
"12","Habitat-Physical","Seasonal OISST Anomaly Map","Measurable","SourceContact",1,1,0.533333333333333
"13","Habitat-Physical","Seasonal OISST Anomaly Map","Achievable","Tested",0,0,0.533333333333333
"14","Habitat-Physical","Seasonal OISST Anomaly Map","Achievable","Sensitivity",0,0,0.533333333333333
"15","Habitat-Physical","Seasonal OISST Anomaly Map","Achievable","TimeLag",0,0,0.533333333333333
"16","Habitat-Physical","Seasonal OISST Anomaly Map","Relevant","Advice",1,0.666666666666667,0.533333333333333
"17","Habitat-Physical","Seasonal OISST Anomaly Map","Relevant","Implications",1,0.666666666666667,0.533333333333333
"18","Habitat-Physical","Seasonal OISST Anomaly Map","Relevant","TargThresh",0,0.666666666666667,0.533333333333333
"19","Habitat-Physical","Seasonal OISST Anomaly Map","Timebound","Frequency",1,0.5,0.533333333333333
"20","Habitat-Physical","Seasonal OISST Anomaly Map","Timebound","Updated",0,0.5,0.533333333333333
