"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Slopewater Proportions","Specific","Described",1,0.666666666666667,0.616666666666667
"2","Habitat-Physical","Slopewater Proportions","Specific","Units",1,0.666666666666667,0.616666666666667
"3","Habitat-Physical","Slopewater Proportions","Specific","Spatial",1,0.666666666666667,0.616666666666667
"4","Habitat-Physical","Slopewater Proportions","Specific","Uncertainty",0,0.666666666666667,0.616666666666667
"5","Habitat-Physical","Slopewater Proportions","Specific","Methods",1,0.666666666666667,0.616666666666667
"6","Habitat-Physical","Slopewater Proportions","Specific","Code",0,0.666666666666667,0.616666666666667
"7","Habitat-Physical","Slopewater Proportions","Measurable","Available",1,1,0.616666666666667
"8","Habitat-Physical","Slopewater Proportions","Measurable","Online",1,1,0.616666666666667
"9","Habitat-Physical","Slopewater Proportions","Measurable","Contact",1,1,0.616666666666667
"10","Habitat-Physical","Slopewater Proportions","Measurable","SourceDat",1,1,0.616666666666667
"11","Habitat-Physical","Slopewater Proportions","Measurable","SourceAvail",1,1,0.616666666666667
"12","Habitat-Physical","Slopewater Proportions","Measurable","SourceContact",1,1,0.616666666666667
"13","Habitat-Physical","Slopewater Proportions","Achievable","Tested",0,0,0.616666666666667
"14","Habitat-Physical","Slopewater Proportions","Achievable","Sensitivity",0,0,0.616666666666667
"15","Habitat-Physical","Slopewater Proportions","Achievable","TimeLag",0,0,0.616666666666667
"16","Habitat-Physical","Slopewater Proportions","Relevant","Advice",1,0.666666666666667,0.616666666666667
"17","Habitat-Physical","Slopewater Proportions","Relevant","Implications",1,0.666666666666667,0.616666666666667
"18","Habitat-Physical","Slopewater Proportions","Relevant","TargThresh",0,0.666666666666667,0.616666666666667
"19","Habitat-Physical","Slopewater Proportions","Timebound","Frequency",1,0.75,0.616666666666667
"20","Habitat-Physical","Slopewater Proportions","Timebound","Updated",0.5,0.75,0.616666666666667
