"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Fish","Species Richness","Specific","Described",1,0.666666666666667,0.566666666666667
"2","Fish","Species Richness","Specific","Units",0,0.666666666666667,0.566666666666667
"3","Fish","Species Richness","Specific","Spatial",1,0.666666666666667,0.566666666666667
"4","Fish","Species Richness","Specific","Uncertainty",1,0.666666666666667,0.566666666666667
"5","Fish","Species Richness","Specific","Methods",1,0.666666666666667,0.566666666666667
"6","Fish","Species Richness","Specific","Code",0,0.666666666666667,0.566666666666667
"7","Fish","Species Richness","Measurable","Available",1,1,0.566666666666667
"8","Fish","Species Richness","Measurable","Online",1,1,0.566666666666667
"9","Fish","Species Richness","Measurable","Contact",1,1,0.566666666666667
"10","Fish","Species Richness","Measurable","SourceDat",1,1,0.566666666666667
"11","Fish","Species Richness","Measurable","SourceAvail",1,1,0.566666666666667
"12","Fish","Species Richness","Measurable","SourceContact",1,1,0.566666666666667
"13","Fish","Species Richness","Achievable","Tested",0,0,0.566666666666667
"14","Fish","Species Richness","Achievable","Sensitivity",0,0,0.566666666666667
"15","Fish","Species Richness","Achievable","TimeLag",0,0,0.566666666666667
"16","Fish","Species Richness","Relevant","Advice",1,0.666666666666667,0.566666666666667
"17","Fish","Species Richness","Relevant","Implications",1,0.666666666666667,0.566666666666667
"18","Fish","Species Richness","Relevant","TargThresh",0,0.666666666666667,0.566666666666667
"19","Fish","Species Richness","Timebound","Frequency",1,0.5,0.566666666666667
"20","Fish","Species Richness","Timebound","Updated",0,0.5,0.566666666666667
