"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Habitat-Physical","Thermal Habitat Persistence","Specific","Described",1,0.666666666666667,0.633333333333333
"2","Habitat-Physical","Thermal Habitat Persistence","Specific","Units",1,0.666666666666667,0.633333333333333
"3","Habitat-Physical","Thermal Habitat Persistence","Specific","Spatial",1,0.666666666666667,0.633333333333333
"4","Habitat-Physical","Thermal Habitat Persistence","Specific","Uncertainty",0,0.666666666666667,0.633333333333333
"5","Habitat-Physical","Thermal Habitat Persistence","Specific","Methods",1,0.666666666666667,0.633333333333333
"6","Habitat-Physical","Thermal Habitat Persistence","Specific","Code",0,0.666666666666667,0.633333333333333
"7","Habitat-Physical","Thermal Habitat Persistence","Measurable","Available",1,0.5,0.633333333333333
"8","Habitat-Physical","Thermal Habitat Persistence","Measurable","Online",1,0.5,0.633333333333333
"9","Habitat-Physical","Thermal Habitat Persistence","Measurable","Contact",1,0.5,0.633333333333333
"10","Habitat-Physical","Thermal Habitat Persistence","Measurable","SourceDat",0,0.5,0.633333333333333
"11","Habitat-Physical","Thermal Habitat Persistence","Measurable","SourceAvail",0,0.5,0.633333333333333
"12","Habitat-Physical","Thermal Habitat Persistence","Measurable","SourceContact",0,0.5,0.633333333333333
"13","Habitat-Physical","Thermal Habitat Persistence","Achievable","Tested",0,0,0.633333333333333
"14","Habitat-Physical","Thermal Habitat Persistence","Achievable","Sensitivity",0,0,0.633333333333333
"15","Habitat-Physical","Thermal Habitat Persistence","Achievable","TimeLag",0,0,0.633333333333333
"16","Habitat-Physical","Thermal Habitat Persistence","Relevant","Advice",1,1,0.633333333333333
"17","Habitat-Physical","Thermal Habitat Persistence","Relevant","Implications",1,1,0.633333333333333
"18","Habitat-Physical","Thermal Habitat Persistence","Relevant","TargThresh",1,1,0.633333333333333
"19","Habitat-Physical","Thermal Habitat Persistence","Timebound","Frequency",1,1,0.633333333333333
"20","Habitat-Physical","Thermal Habitat Persistence","Timebound","Updated",1,1,0.633333333333333
